N,no_pruning_build_s,no_pruning_price_s,no_pruning_price,pruning_1e-8_build_s,pruning_1e-8_price_s,pruning_1e-8_price
238,0.25208589993417263,0.10630899993702769,13.287111400385866,0.06901869992725551,0.011636899784207344,13.287111398878677
254,0.3101320001296699,0.1269685998558998,13.285775928604018,0.07553249993361533,0.013617199845612049,13.285775926938525
271,0.35483570001088083,0.15501330001279712,13.284464769164938,0.08294410002417862,0.014802899910137057,13.284464767330803
289,0.4010926999617368,0.19022140000015497,13.283182499644646,0.09136009984649718,0.016967699863016605,13.283182497575336
306,0.4492953000590205,0.21546069998294115,13.283946795618583,0.12959690019488335,0.018213000148534775,13.283946793381595
324,0.4984134999103844,0.2492100999224931,13.285902118666817,0.10831969999708235,0.0212183000985533,13.285902116245257
343,0.568399399984628,0.29598170006647706,13.28761144959399,0.11735820001922548,0.022125500021502376,13.28761144697802
362,0.6549638998694718,0.34323749993927777,13.289023100411047,0.15477819996885955,0.02426410000771284,13.289023097686929
381,0.6807416998781264,0.39828229998238385,13.29019021877123,0.13924229983240366,0.025938599836081266,13.290190215858756
401,0.8069909999612719,0.46368689998053014,13.291200691733145,0.14851989992894232,0.030344400089234114,13.291200688624269
422,0.8720177998766303,0.5375864000525326,13.292062736378627,0.1868037001695484,0.03686080011539161,13.292062733045723
442,0.9485464000608772,0.6081896999385208,13.292726568849883,0.17405520007014275,0.03366620000451803,13.292726565320201
463,1.0649236999452114,0.7095804000273347,13.293286241732318,0.2108068000525236,0.03775930008850992,13.293286238069587
485,1.1487671001814306,0.7965796999633312,13.293746538918628,0.19539149990305305,0.040798200061544776,13.293746535060652
500,1.2542532999068499,0.8708665000740439,13.293997509479192,0.2499629999510944,0.04258299991488457,13.293997505438211
